"","id","or","de","or_id","de_id","status","or_name","de_name","distance","min_dur","min_dur_traffic","speed_dur","speed_dur_traffic"
"2",2,"55.8008554529218+-4.26775656221776","55.8026277344685+-4.25209913656571",1,2,"OK","52 First Ave, Glasgow G44 3UB, UK","Block B/Unit 2 & 3/Drakemire Business Park/Drakemire Drive, Glasgow G45 9SS, UK",5354,718,571,26.8445682451253,33.7555166374781
"3",3,"55.8008554529218+-4.26775656221776","55.804398099908+-4.23644040618892",1,3,"OK","52 First Ave, Glasgow G44 3UB, UK","38 Dougrie Rd, Glasgow G45 9NH, UK",5536,727,570,27.4134800550206,34.9642105263158
"4",4,"55.8008554529218+-4.26775656221776","55.806085649711+-4.30230543946561",1,4,"OK","52 First Ave, Glasgow G44 3UB, UK","33 Ravenscliffe Dr, Giffnock, Glasgow G46 7QR, UK",3783,533,476,25.5512195121951,28.6109243697479
"5",5,"55.8008554529218+-4.26775656221776","55.8061665489834+-4.22078037228964",1,5,"OK","52 First Ave, Glasgow G44 3UB, UK","53 Hoddam Ave, Glasgow G45 0EX, UK",7421,1016,819,26.2948818897638,32.6197802197802
"6",6,"55.8008554529218+-4.26775656221776","55.8078622140448+-4.28664731938141",1,6,"OK","52 First Ave, Glasgow G44 3UB, UK","90 Park Grove Ave, Giffnock, Glasgow G46 6HT, UK",2524,359,307,25.3103064066852,29.5973941368078
"7",7,"55.8008554529218+-4.26775656221776","55.807933081438+-4.20511903607098",1,7,"OK","52 First Ave, Glasgow G44 3UB, UK","1 Neilvaig Dr, Rutherglen, Glasgow G73 4EQ, UK",7475,972,771,27.6851851851852,34.9027237354086
"8",8,"55.8008554529218+-4.26775656221776","55.809636862346+-4.27098789112858",1,8,"OK","52 First Ave, Glasgow G44 3UB, UK","471 Clarkston Rd, Glasgow G44 3LW, UK",1275,219,178,20.958904109589,25.7865168539326
"9",9,"55.8008554529218+-4.26775656221776","55.8114095943569+-4.25532715590851",1,9,"OK","52 First Ave, Glasgow G44 3UB, UK","209 Old Castle Rd, Glasgow G44 5DW, UK",3391,512,410,23.84296875,29.7746341463415
"10",10,"55.8008554529218+-4.26775656221776","55.8130871264448+-4.32120522749954",1,10,"OK","52 First Ave, Glasgow G44 3UB, UK","Unnamed Road, Glasgow G46 8RY, UK",6030,828,630,26.2173913043478,34.4571428571429
"11",11,"55.8008554529218+-4.26775656221776","55.8131804098203+-4.23966511492351",1,11,"OK","52 First Ave, Glasgow G44 3UB, UK","203 Croftpark Ave, Glasgow G44 5JQ, UK",4445,629,493,25.4403815580286,32.4584178498986
"12",12,"55.8008554529218+-4.26775656221776","55.8148660585794+-4.30554510875181",1,12,"OK","52 First Ave, Glasgow G44 3UB, UK","40 Fyvie Ave, Glasgow G43 1EU, UK",4206,617,455,24.540680713128,33.2782417582418
"13",13,"55.8008554529218+-4.26775656221776","55.8149493084791+-4.22400176937665",1,13,"OK","52 First Ave, Glasgow G44 3UB, UK","46 Alloway Dr, Rutherglen, Glasgow G73 4PP, UK",5288,784,623,24.2816326530612,30.5566613162119
"14",14,"55.8008554529218+-4.26775656221776","55.8166430744992+-4.2898836795911",1,14,"OK","52 First Ave, Glasgow G44 3UB, UK","7 Auldhouse Terrace, Glasgow G43 2YW, UK",2880,436,331,23.7798165137615,31.3232628398792
"15",15,"55.8008554529218+-4.26775656221776","55.8167162900762+-4.20833712047185",1,15,"OK","52 First Ave, Glasgow G44 3UB, UK","26 Blairtum Dr, Rutherglen, Glasgow G73 3RY, UK",6723,865,671,27.9801156069364,36.0697466467958
"16",16,"55.8008554529218+-4.26775656221776","55.8184181739463+-4.27422094121885",1,16,"OK","52 First Ave, Glasgow G44 3UB, UK","2 Muirskeith Rd, Glasgow G43 2JZ, UK",2855,416,345,24.7067307692308,29.7913043478261
"17",17,"55.8008554529218+-4.26775656221776","55.8184813543552+-4.19267116941385",1,17,"OK","52 First Ave, Glasgow G44 3UB, UK","44 Southhill Ave, Rutherglen, Glasgow G73 3TB, UK",7443,1038,831,25.8138728323699,32.2440433212996
"18",18,"55.8008554529218+-4.26775656221776","55.8201913566628+-4.25855689483729",1,18,"OK","52 First Ave, Glasgow G44 3UB, UK","23B Greenholme St, Glasgow G44 4DU, UK",2791,470,370,21.3778723404255,27.1556756756757
"19",19,"55.8008554529218+-4.26775656221776","55.8202445010595+-4.17700391740823",1,19,"OK","52 First Ave, Glasgow G44 3UB, UK","4 Glasgow Rd, Cambuslang, Glasgow G72 7BW, UK",11788,1139,990,37.2579455662862,42.8654545454545
"20",20,"55.8008554529218+-4.26775656221776","55.8218669847048+-4.32444993209634",1,20,"OK","52 First Ave, Glasgow G44 3UB, UK","Boydstone Rd, Glasgow G43 1AY, UK",5190,660,479,28.3090909090909,39.0062630480167
"21",21,"55.8008554529218+-4.26775656221776","55.8219626223911+-4.24289154164954",1,21,"OK","52 First Ave, Glasgow G44 3UB, UK","1 Kingscourt Ave, Glasgow G44 4JP, UK",4060,663,516,22.0452488687783,28.3255813953488
"22",22,"55.8008554529218+-4.26775656221776","55.8236463691074+-4.30878650372448",1,22,"OK","52 First Ave, Glasgow G44 3UB, UK","90 Barrhead Rd, Glasgow G43 1BG, UK",4631,675,496,24.6986666666667,33.6120967741935
"23",23,"55.8008554529218+-4.26775656221776","55.8237319708741+-4.22722488285949",1,23,"OK","52 First Ave, Glasgow G44 3UB, UK","4 Westfield Ave, Rutherglen, Glasgow G73 2DZ, UK",5534,834,648,23.8877697841727,30.7444444444444
"24",24,"55.8008554529218+-4.26775656221776","55.8254238368552+-4.29312176389485",1,24,"OK","52 First Ave, Glasgow G44 3UB, UK","30 Pleasance St, Glasgow G43 1SW, UK",4037,600,522,24.222,27.8413793103448
"25",25,"55.8008554529218+-4.26775656221776","55.8254994018545+-4.21155691967189",1,25,"OK","52 First Ave, Glasgow G44 3UB, UK","5 Clincarthill Rd, Rutherglen, Glasgow G73 2LF, UK",6671,972,777,24.7074074074074,30.9081081081081
"26",26,"55.8008554529218+-4.26775656221776","55.8271993876897+-4.27745571380972",1,26,"OK","52 First Ave, Glasgow G44 3UB, UK","38 Edgemont St, Glasgow G41 3EL, UK",3909,556,478,25.310071942446,29.4401673640167
"27",27,"55.8008554529218+-4.26775656221776","55.8272649150755+-4.19588765329231",1,27,"OK","52 First Ave, Glasgow G44 3UB, UK","27 Richmond Pl, Rutherglen, Glasgow G73 3BD, UK",7679,1080,865,25.5966666666667,31.9588439306358
"28",28,"55.8008554529218+-4.26775656221776","55.8288649905994+-4.34336179117908",1,28,"OK","52 First Ave, Glasgow G44 3UB, UK","28 Blackstone Cres, Glasgow G53 5DN, UK",7294,956,706,27.4669456066946,37.1932011331445
"29",29,"55.8008554529218+-4.26775656221776","55.8289730213532+-4.26178835467214",1,29,"OK","52 First Ave, Glasgow G44 3UB, UK","Queen's Park Rd, Glasgow G42 9LL, UK",4055,631,452,23.13470681458,32.2964601769911
"30",30,"55.8008554529218+-4.26775656221776","55.8290285102805+-4.18021708492715",1,30,"OK","52 First Ave, Glasgow G44 3UB, UK","295 Cambuslang Rd, Cambuslang, Glasgow G72 7DB, UK",8594,1151,928,26.8795829713293,33.3387931034483
"31",31,"55.8008554529218+-4.26775656221776","55.8306467443489+-4.32769636529655",1,31,"OK","52 First Ave, Glasgow G44 3UB, UK","M77, Glasgow G52 1TW, UK",9375,1208,942,27.9387417218543,35.828025477707
"32",32,"55.8008554529218+-4.26775656221776","55.8307447375878+-4.24611968768604",1,32,"OK","52 First Ave, Glasgow G44 3UB, UK","555 Prospecthill Rd, Glasgow G42 0AE, UK",4571,747,548,22.0289156626506,30.0284671532847
"33",33,"55.8008554529218+-4.26775656221776","55.830790187213+-4.16454521578364",1,33,"OK","52 First Ave, Glasgow G44 3UB, UK","39 Clydesmill Pl, Glasgow G32 8RF, UK",9954,1286,1059,27.8650077760498,33.8379603399434
"34",34,"55.8008554529218+-4.26775656221776","55.832514536136+-4.23044971405617",1,34,"OK","52 First Ave, Glasgow G44 3UB, UK","73 Southcroft Rd, Rutherglen, Glasgow G73 1UG, UK",10661,1166,839,32.9156089193825,45.7444576877235
"35",35,"55.8008554529218+-4.26775656221776","55.8342045010794+-4.29636157361619",1,35,"OK","52 First Ave, Glasgow G44 3UB, UK","122 Haggs Rd, Glasgow G41 4AT, UK",5499,753,529,26.2900398406374,37.4223062381853
"36",36,"55.8008554529218+-4.26775656221776","55.8342824167406+-4.21477843498807",1,36,"OK","52 First Ave, Glasgow G44 3UB, UK","19 Seath Rd, Rutherglen, Glasgow G73 1RW, UK",7256,1016,819,25.7102362204724,31.8945054945055
"37",37,"55.8008554529218+-4.26775656221776","55.8359805035433+-4.28069221022367",1,37,"OK","52 First Ave, Glasgow G44 3UB, UK","6 Boleyn Rd, Glasgow G41 4NF, UK",5282,798,564,23.8285714285714,33.7148936170213
"38",38,"55.8008554529218+-4.26775656221776","55.8360483791443+-4.19910585168816",1,38,"OK","52 First Ave, Glasgow G44 3UB, UK","Caithness Leisure, 33 Downiebrae Rd, Rutherglen, Glasgow G73 1PW, UK",9958,1270,954,28.2274015748031,37.577358490566
"39",39,"55.8008554529218+-4.26775656221776","55.8376441984009+-4.34661326607183",1,39,"OK","52 First Ave, Glasgow G44 3UB, UK","139 Dormanside Rd, Glasgow G53 5XR, UK",9084,1147,894,28.5112467306016,36.5798657718121
"40",40,"55.8008554529218+-4.26775656221776","55.8377545883954+-4.26502153673451",1,40,"OK","52 First Ave, Glasgow G44 3UB, UK","68 Calder St, Glasgow G42 7RX, UK",4911,808,541,21.8806930693069,32.6794824399261
"41",41,"55.8008554529218+-4.26775656221776","55.8378124230904+-4.18343196536366",1,41,"OK","52 First Ave, Glasgow G44 3UB, UK","Clyde Walkway, Glasgow G72, UK",11401,1257,920,32.6520286396181,44.6126086956522
"42",42,"55.8008554529218+-4.26775656221776","55.8394264053433+-4.33094452842711",1,42,"OK","52 First Ave, Glasgow G44 3UB, UK","290 Bellahouston Dr, Glasgow G52 1QQ, UK",8359,1113,807,27.0371967654986,37.289219330855
"43",43,"55.8008554529218+-4.26775656221776","55.8395267553777+-4.24934955435345",1,43,"OK","52 First Ave, Glasgow G44 3UB, UK","111 Lawmoor Rd, Glasgow G5 0UL, UK",6039,909,625,23.9168316831683,34.78464
"44",44,"55.8008554529218+-4.26775656221776","55.8395745483223+-4.16775677722261",1,44,"OK","52 First Ave, Glasgow G44 3UB, UK","54 Fullarton Ave, Glasgow G32 8HP, UK",11174,1248,910,32.2326923076923,44.2048351648352
"45",45,"55.8008554529218+-4.26775656221776","55.8412066950088+-4.3152744760288",1,45,"OK","52 First Ave, Glasgow G44 3UB, UK","37 Mosspark Blvd, Glasgow G52 1LN, UK",7090,955,669,26.7267015706806,38.152466367713
"46",46,"55.8008554529218+-4.26775656221776","55.8412970042324+-4.23367626428606",1,46,"OK","52 First Ave, Glasgow G44 3UB, UK","10 Provost Way, Glasgow G5 0HT, UK",6627,1085,785,21.988202764977,30.3913375796178
"47",47,"55.8008554529218+-4.26775656221776","55.8429850671386+-4.29960311007998",1,47,"OK","52 First Ave, Glasgow G44 3UB, UK","1 Sherbrooke Gardens, Glasgow G41 4HU, UK",6880,935,701,26.4898395721925,35.3323823109843
