"","id","or","de","or_id","de_id","status","or_name","de_name","distance","min_dur","min_dur_traffic","speed_dur","speed_dur_traffic"
"2",2,"57.6514386193992+11.9991177224598","57.6516888960975+11.9823970955644",1,2,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Prästgårdsgatan 19, 431 44 Mölndal, Sweden",1768,296,295,21.5027027027027,21.575593220339
"3",3,"57.6514386193992+11.9991177224598","57.6519370713182+11.9656762572648",1,3,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Eklanda Lund 30, 431 49 Mölndal, Sweden",2977,327,363,32.7743119266055,29.5239669421488
"4",4,"57.6514386193992+11.9991177224598","57.6521831450185+11.9489552093384",1,4,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Gustaf Werners gata 4, 421 32 Västra Frölunda, Sweden",3757,408,510,33.15,26.52
"5",5,"57.6514386193992+11.9991177224598","57.6524271171561+11.932233953563",1,5,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Antenngatan 41B, 421 33 Västra Frölunda, Sweden",5114,582,680,31.6329896907217,27.0741176470588
"6",6,"57.6514386193992+11.9991177224598","57.6599183798366+12.0330528061552",1,6,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Gustavsgatan 5B, 431 66 Mölndal, Sweden",3349,422,485,28.5696682464455,24.8585567010309
"7",7,"57.6514386193992+11.9991177224598","57.6601729296341+12.0163285452397",1,7,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Södra Ågatan 10, 431 35 Mölndal, Sweden",3489,344,399,36.5127906976744,31.4796992481203
"8",8,"57.6514386193992+11.9991177224598","57.6604253774612+11.9996040691778",1,8,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Bågskyttegatan 1D, 431 43 Mölndal, Sweden",2128,263,278,29.1285171102662,27.5568345323741
"9",9,"57.6514386193992+11.9991177224598","57.6606757232745+11.9828793797484",1,9,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Axgatan 161, 431 40 Mölndal, Sweden",2469,348,378,25.5413793103448,23.5142857142857
"10",10,"57.6514386193992+11.9991177224598","57.6609239670307+11.9661544787305",1,10,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Eklanda hage 91, 431 49 Mölndal, Sweden",3687,456,492,29.1078947368421,26.9780487804878
"11",11,"57.6514386193992+11.9991177224598","57.6611701086874+11.9494293679033",1,11,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Ingela Gathenhielms gata 6, 421 30 Västra Frölunda, Sweden",4718,511,607,33.2383561643836,27.9815485996705
"12",12,"57.6514386193992+11.9991177224598","57.6614141482019+11.9327040490461",1,12,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Armlängdsgatan 11, 421 36 Västra Frölunda, Sweden",5498,609,729,32.5004926108374,27.1506172839506
"13",13,"57.6514386193992+11.9991177224598","57.6616560855323+11.9159785239384",1,13,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Klarinettgatan 14, 421 39 Västra Frölunda, Sweden",6614,727,865,32.7515818431912,27.5264739884393
"14",14,"57.6514386193992+11.9991177224598","57.661895920637+11.8992527943599",1,14,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Grimmeredsvägen 144, 426 69 Västra Frölunda, Sweden",8106,554,627,52.6743682310469,46.5416267942584
"15",15,"57.6514386193992+11.9991177224598","57.6686482964371+12.050275669697",1,15,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Utriggaregatan 7, 431 36 Mölndal, Sweden",5424,688,754,28.3813953488372,25.8970822281167
"16",16,"57.6514386193992+11.9991177224598","57.6689050190554+12.0335475614053",1,16,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Postmästaregatan 31, 431 66 Mölndal, Sweden",4575,581,676,28.3476764199656,24.3639053254438
"17",17,"57.6514386193992+11.9991177224598","57.6691596391676+12.0168192359996",1,17,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Flöjelbergsgatan 8B, 431 37 Mölndal, Sweden",3372,419,508,28.9718377088305,23.896062992126
"18",18,"57.6514386193992+11.9991177224598","57.6694121567299+12.0000906952601",1,18,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Krokslätts Storgata 44, 431 38 Mölndal, Sweden",4924,642,734,27.611214953271,24.1504087193461
"19",19,"57.6514386193992+11.9991177224598","57.6696625716987+11.9833619409672",1,19,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Västerbergsgatan 3, 431 69 Mölndal, Sweden",3673,422,459,31.3336492890995,28.8078431372549
"20",20,"57.6514386193992+11.9991177224598","57.6699108840309+11.9666329749014",1,20,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Vitmossegatan 13, 431 69 Mölndal, Sweden",5209,631,704,29.7185419968304,26.6369318181818
"21",21,"57.6514386193992+11.9991177224598","57.6704012006149+11.9331744145743",1,21,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Kapplandsgatan 68, 414 78 Göteborg, Sweden",6748,734,866,33.0964577656676,28.0517321016166
"22",22,"57.6514386193992+11.9991177224598","57.6706432047822+11.916444823875",1,22,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Växelmyntsgatan 53A, 414 83 Göteborg, Sweden",12311,820,912,54.0482926829268,48.596052631579
"23",23,"57.6514386193992+11.9991177224598","57.670883106144+11.8997150285267",1,23,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Tulpangatan 14, 426 68 Västra Frölunda, Sweden",9152,671,747,49.1016393442623,44.1060240963855
"24",24,"57.6514386193992+11.9991177224598","57.6711209046591+11.8829850303107",1,24,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","REDEBACKEN 23, 426 77 Västra Frölunda, Sweden",9374,634,711,53.2277602523659,47.4632911392405
"25",25,"57.6514386193992+11.9991177224598","57.6778916794538+12.0340426009179",1,25,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Gamla Boråsvägen 100, 412 76 Göteborg, Sweden",7311,769,839,34.2257477243173,31.3702026221693
"26",26,"57.6514386193992+11.9991177224598","57.6781463699221+12.0173102086909",1,26,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Smörgatan 15, 412 76 Göteborg, Sweden",6097,597,756,36.7658291457286,29.0333333333333
"27",27,"57.6514386193992+11.9991177224598","57.6783989572605+12.0005776009426",1,27,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Ebbe Lieberathsgatan 19, 412 65 Göteborg, Sweden",4527,537,616,30.3486033519553,26.4564935064935
"28",28,"57.6514386193992+11.9991177224598","57.6786494414256+11.9838447794547",1,28,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Grågåsgatan 23, 412 62 Göteborg, Sweden",5582,576,657,34.8875,30.586301369863
"29",29,"57.6514386193992+11.9991177224598","57.6788978223742+11.9671117460094",1,29,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Ehrenströmsgatan 17, 413 45 Göteborg, Sweden",4691,516,591,32.7279069767442,28.5746192893401
"30",30,"57.6514386193992+11.9991177224598","57.6791441000634+11.9503785023889",1,30,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Thorild Wulffsgatan 43, 413 19 Göteborg, Sweden",9210,731,823,45.3570451436388,40.2867557715674
"31",31,"57.6514386193992+11.9991177224598","57.6793882744508+11.9336450503758",1,31,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Sollidsgatan 25, 414 76 Göteborg, Sweden",8734,632,748,49.7506329113924,42.0352941176471
"32",32,"57.6514386193992+11.9991177224598","57.6796303454944+11.9169113917525",1,32,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Sven Brolids Väg 25, 414 73 Göteborg, Sweden",9802,676,802,52.2,43.9990024937656
"33",33,"57.6514386193992+11.9991177224598","57.6798703131523+11.9001775283019",1,33,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Långedragsvägen 18, 426 71 Västra Frölunda, Sweden",11153,712,796,56.3915730337079,50.4407035175879
"34",34,"57.6514386193992+11.9991177224598","57.6801081773833+11.8834434618068",1,34,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Tigerstigen 1, 426 72 Västra Frölunda, Sweden",10976,797,886,49.5779171894605,44.5977426636569
"35",35,"57.6514386193992+11.9991177224598","57.6868783610871+12.0345379249329",1,35,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Västra Sjöslingan, 412 76 Göteborg, Sweden",7413,855,1001,31.2126315789474,26.6601398601399
"36",36,"57.6514386193992+11.9991177224598","57.687133121953+12.0178014635518",1,36,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Olaus Petrigatan 14, 412 70 Göteborg, Sweden",6965,746,970,33.6112600536193,25.8494845360825
"37",37,"57.6514386193992+11.9991177224598","57.6873857791087+12.0010647864614",1,37,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Skårs Led 3, 412 63 Göteborg, Sweden",5497,672,860,29.4482142857143,23.0106976744186
"38",38,"57.6514386193992+11.9991177224598","57.6876363325109+11.9843278954451",1,38,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Örnehufvudsgatan 9, 412 59 Göteborg, Sweden",5831,693,797,30.2909090909091,26.3382685069009
"39",39,"57.6514386193992+11.9991177224598","57.6878847821162+11.9675907922867",1,39,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Guldhedsgatan 6, 413 20 Göteborg, Sweden",5655,593,744,34.3305227655987,27.3629032258065
"40",40,"57.6514386193992+11.9991177224598","57.6881311278818+11.9508534787699",1,40,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Fågeldammsvägen, 413 10 Göteborg, Sweden",6125,660,845,33.4090909090909,26.094674556213
"41",41,"57.6514386193992+11.9991177224598","57.6883753697653+11.9341159566787",1,41,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Mors backe 9, 414 67 Göteborg, Sweden",9993,800,942,44.9685,38.1898089171975
"42",42,"57.6514386193992+11.9991177224598","57.6886175077244+11.9173782277973",1,42,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Ostindiegatan 7B, 414 53 Göteborg, Sweden",12096,807,945,53.9598513011152,46.08
"43",43,"57.6514386193992+11.9991177224598","57.6888575417176+11.9006402939099",1,43,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","1 Röda Sten, 414 51 Göteborg, Sweden",11909,882,1001,48.6081632653061,42.8295704295704
"44",44,"57.6514386193992+11.9991177224598","57.6890954717033+11.8839021568011",1,44,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Unnamed Road, 418 34 Göteborg, Sweden",18848,2795,3094,24.2764937388193,21.9304460245637
"45",45,"57.6514386193992+11.9991177224598","57.6958650640109+12.0350335336908",1,45,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Alfred Gärdes väg 101, 416 55 Göteborg, Sweden",9792,1020,1241,34.56,28.4054794520548
"46",46,"57.6514386193992+11.9991177224598","57.6961198953157+12.0182930008206",1,46,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Storatorpsvägen 3, 412 70 Göteborg, Sweden",8680,919,1110,34.0021762785637,28.1513513513513
"47",47,"57.6514386193992+11.9991177224598","57.6963726223299+12.001552252053",1,47,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Jättegrytsgatan 17, 412 68 Göteborg, Sweden",7196,650,797,39.8547692307692,32.5038895859473
"48",48,"57.6514386193992+11.9991177224598","57.6966232450099+11.984811289173",1,48,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Johannebergsgatan 32, 412 55 Göteborg, Sweden",7193,916,1095,28.2694323144105,23.6482191780822
"49",49,"57.6514386193992+11.9991177224598","57.6968717633124+11.9680701139659",1,49,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Engelbrektsgatan 3, 411 27 Göteborg, Sweden",7172,869,1158,29.7113924050633,22.2963730569948
"50",50,"57.6514386193992+11.9991177224598","57.6971181771945+11.9513287282169",1,50,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Linnégatan 26, 413 04 Göteborg, Sweden",10683,850,1031,45.2456470588235,37.3024248302619
"51",51,"57.6514386193992+11.9991177224598","57.6973624866138+11.9345871337117",1,51,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Bangatan 17A, 414 63 Göteborg, Sweden",13423,867,982,55.7356401384083,49.2085539714868
"52",52,"57.6514386193992+11.9991177224598","57.6976046915281+11.9178453322359",1,52,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Fiskhamnsgatan 33, 414 58 Göteborg, Sweden",16561,2501,2800,23.8383046781288,21.2927142857143
"53",53,"57.6514386193992+11.9991177224598","57.6978447918955+11.9011033255755",1,53,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Astris Gata 7, 417 67 Göteborg, Sweden",13111,843,952,55.9900355871886,49.5794117647059
"54",54,"57.6514386193992+11.9991177224598","57.6980827876746+11.8843611155163",1,54,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Rya Skog, Bentylgatan 11, 418 34 Göteborg, Sweden",15122,935,1075,58.223743315508,50.6411162790698
"55",55,"57.6514386193992+11.9991177224598","57.7048517882805+12.0355294274322",1,55,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Terränglöparen 8, 416 55 Göteborg, Sweden",9795,1035,1251,34.0695652173913,28.1870503597122
"56",56,"57.6514386193992+11.9991177224598","57.7051066900658+12.018784820736",1,56,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Lövhagegången 4, 416 56 Göteborg, Sweden",8599,920,1110,33.6482608695652,27.8886486486486
"57",57,"57.6514386193992+11.9991177224598","57.7053594869796+12.0020399979541",1,57,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Lunnatorpsgatan 8, 412 74 Göteborg, Sweden",7944,764,935,37.4324607329843,30.5865240641711
"58",58,"57.6514386193992+11.9991177224598","57.7056101789782+11.985294960873",1,58,"OK","Åby Allé 33, 431 45 Mölndal, Sweden","Skånegatan 1-3, 411 40 Göteborg, Sweden",9019,816,1111,39.7897058823529,29.2244824482448
