"","id","or","de","or_id","de_id","status","or_name","de_name","distance","min_dur","min_dur_traffic","speed_dur","speed_dur_traffic"
"2",2,"38.6564650525967+-9.13197056637389","38.658429412395+-9.16804832689434",1,2,"OK","Unnamed Road, 2810 Almada, Portugal","R. Henrique Mota, 2810-262 Almada, Portugal",6935,853,936,29.2684642438452,26.6730769230769
"3",3,"38.6564650525967+-9.13197056637389","38.6587228727983+-9.1208027888351",1,3,"OK","Unnamed Road, 2810 Almada, Portugal","Unnamed Road, Portugal",509,89,89,20.5887640449438,20.5887640449438
"4",4,"38.6564650525967+-9.13197056637389","38.6606914553131+-9.15688116915499",1,4,"OK","Unnamed Road, 2810 Almada, Portugal","R. 8 de Setembro 27, 2810-176 Almada, Portugal",4151,680,809,21.9758823529412,18.4716934487021
"5",5,"38.6564650525967+-9.13197056637389","38.662952205928+-9.14571336032262",1,5,"OK","Unnamed Road, 2810 Almada, Portugal","Unnamed Road, 2810 Almada, Portugal",3941,644,693,22.0304347826087,20.4727272727273
"6",6,"38.6564650525967+-9.13197056637389","38.6649111031523+-9.18179544463407",1,6,"OK","Unnamed Road, 2810 Almada, Portugal","Pragal, 2805 Almada, Portugal",7883,1238,1715,22.9231017770598,16.5474052478134
"7",7,"38.6564650525967+-9.13197056637389","38.6652116641213+-9.13454490067004",1,7,"OK","38.6564650525967,-9.13197056637389","38.6652116641213,-9.13454490067004",NA,NA,NA,NA,NA
"8",8,"38.6564650525967+-9.13197056637389","38.6671747844968+-9.17062760664094",1,8,"OK","Unnamed Road, 2810 Almada, Portugal","R. Álvaro Guerra 18B, 2805 Almada, Portugal",5820,882,1358,23.7551020408163,15.4285714285714
"9",9,"38.6564650525967+-9.13197056637389","38.6694371734915+-9.15945911691603",1,9,"OK","Unnamed Road, 2810 Almada, Portugal","Estr. Brejo 20, 2805-082 Almada, Portugal",5526,930,1240,21.3909677419355,16.0432258064516
"10",10,"38.6564650525967+-9.13197056637389","38.6713906066944+-9.19554552420225",1,10,"OK","Unnamed Road, 2810 Almada, Portugal","R. Mirabelém 14, 2825 Caparica, Portugal",9156,1174,1702,28.0763202725724,19.366392479436
"11",11,"38.6564650525967+-9.13197056637389","38.6716982700176+-9.14828997573212",1,11,"OK","Unnamed Road, 2810 Almada, Portugal","Rio Tejo, Portugal",5811,869,1081,24.0731875719217,19.3520814061055
"12",12,"38.6564650525967+-9.13197056637389","38.6736559268063+-9.1843770065391",1,12,"OK","Unnamed Road, 2810 Almada, Portugal","R. Palença 80, 2805 Almada, Portugal",7929,1187,1680,24.0475147430497,16.9907142857143
"13",13,"38.6564650525967+-9.13197056637389","38.6739580739563+-9.13712018336216",1,13,"OK","Unnamed Road, 2810 Almada, Portugal","Unnamed Road, 2810 Almada, Portugal",6439,926,1169,25.0328293736501,19.829255774166
"14",14,"38.6564650525967+-9.13197056637389","38.6759199545215+-9.17320783650516",1,14,"OK","Unnamed Road, 2810 Almada, Portugal","R. da Ermida 39, 2805 Almada, Portugal",6864,978,1596,25.2662576687117,15.4827067669173
